Specimen name,participant name,PN validate,experiment,level,path
SP017Z1-Fp1B27Us1_9,SP017Z1,SP017Z1,xenium,,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010787__S18-9906-B27Us1_9Q1__20230912__220421
SP003Z1-Fp1A15Us1_1,SP003Z1,SP003Z1,xenium,,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010817__S18-11798-A15Us1_1__20231003__221400
SP004Z1-Fp1B17Us2_1,SP004Z1,SP004Z1,xenium,,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010587__S18-15142-B17Us2_1__20231003__221400
SP005Z1-Fp1A25Us1_1,SP005Z1,SP005Z1,xenium,,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010817__S18-18215-A25Us1_1__20231003__221400
SP006Z1-Fp1C8Us1_1,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010587__S18-5591-C8Us1_1__20231003__221400
SP008Z1-Fp1F15U1,SP008Z1,SP008Z1,xenium,,/diskmnt/primary/Xenium/data/20231026__203216__24008/output-XETG00122__0011002__S18-9251-F15U1__20231026__203324
SP009Z1-Fp1B14U1,SP009Z1,SP009Z1,xenium,,/diskmnt/primary/Xenium/data/20231026__203216__24008/output-XETG00122__0011010__S18-9259-B14U1__20231026__203324
SP012Z1-Fp1-A2U3,SP012Z1,SP012Z1,xenium,,/diskmnt/primary/Xenium/data/20231026__203216__24008/output-XETG00122__0011010__S21-11816-A2U3__20231026__203324
SP015Z1-Fp1A1U3,SP015Z1,SP015Z1,xenium,,/diskmnt/primary/Xenium/data/20231026__203216__24008/output-XETG00122__0011002__S22-53426-A1U3__20231026__203324
SP006Z1-Fp1C8Us2_1,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0011055__S18-5591-C8Us2_1__20231114__223131
SP006Z1-Fp1C8Us2_12,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0010977__S18-5591-C8Us2_12__20231114__223131
SP006Z1-Fp1C8Us2_18,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0011055__S18-5591-C8Us2_18__20231114__223131
SP006Z1-Fp1C8Us2_20,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0010977__S18-5591-C8Us2_20__20231114__223131
SP006Z1-Fp1C8Us2_5,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0010977__S18-5591-C8Us2_5__20231114__223131
SP006Z1-Fp1C8Us2_7,SP006Z1,SP006Z1,xenium,,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0011055__S18-5591-C8Us2_7__20231114__223131
HT814Z1-S1H1Fp1Us1_3,HT814Z1,HT814Z1,xenium,,/diskmnt/primary/Xenium/data/20240228__230055__20240228_Prostate_Bone/output-XETG00122__0009954__HT814Z1-S1H1Fp1Us1_3__20240228__230117
HT817Z1-S1H1Fp1Us1_2,HT817Z1,HT817Z1,xenium,,/diskmnt/primary/Xenium/data/20240228__230055__20240228_Prostate_Bone/output-XETG00122__0009954__HT817Z1-S1H1Fp1Us1_2__20240228__230117
SP007Z1-Fp1A10Us2_1,SP007Z1,SP007Z1,xenium,,/diskmnt/primary/Xenium/data/20240228__230055__20240228_Prostate_Bone/output-XETG00122__0009954__S18-8795-A10Us2_1__20240228__230117
HT832Z1-S1H1Fp1U1,HT832Z1,HT832Z1,xenium,,/diskmnt/primary/Xenium/data/20240320__161703__20240320_RCC_Prostate/output-XETG00122__0024817__HT832Z1-S1H1Fp1U1__20240320__161736
SP016Z1-Fp1B28U1,SP016Z1,SP016Z1,xenium,,/diskmnt/primary/Xenium/data/20240322__175618__202040322_HTAN_SNP_prostate/output-XETG00122__0010300__S18-8122-B28U1__20240322__175655
HT849Z1-S1H2Fp1U1,HT849Z1,HT849Z1,xenium,,/diskmnt/primary/Xenium/data/20240326__222642__20240326_Prostate_Chol/output-XETG00122__0024905__HT849Z1-S1H2Fp1U1__20240326__222724
HT852Z1-S1H1Fp1U1,HT852Z1,HT852Z1,xenium,,/diskmnt/primary/Xenium/data/20240326__222642__20240326_Prostate_Chol/output-XETG00122__0024905__HT852Z1-S1H1Fp1U1__20240326__222724
SP011Z1-Fp1-A15U1,SP011Z1,SP011Z1,xenium,,/diskmnt/primary/Xenium/data/20240329__172043__20240329_pairedmCRC-CRC_prostate/output-XETG00122__0022749__S20-12521-A15U1__20240329__172116
SP014Z1-Fp1A29U1,SP014Z1,SP014Z1,xenium,,/diskmnt/primary/Xenium/data/20240329__172043__20240329_pairedmCRC-CRC_prostate/output-XETG00122__0022750__S22-44238-A29U1__20240329__172116
HT891Z1-S2H3Fp1U1,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034184__HT891Z1-S2H3Fp1U1__20240524__182554
HT891Z1-S2H3Fp1U21,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034184__HT891Z1-S2H3Fp1U21__20240524__182554
HT891Z1-S2H3Fp1U32,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034184__HT891Z1-S2H3Fp1U31__20240524__182554
HT891Z1-S2H3Fp1U44,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034183__HT891Z1-S2H3Fp1U44__20240524__182554
HT891Z1-S2H3Fp1U59,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034183__HT891Z1-S2H3Fp1U59__20240524__182554
HT891Z1-S2H3Fp1U69,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034183__HT891Z1-S2H3Fp1U69__20240524__182554
HT891Z1-S2H3Fp1U104,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240613__175032__20240613_Prostate_SNP/output-XETG00122__0033823__HT891Z1-S2H3Fp1U104__20240613__175113
HT891Z1-S2H3Fp1U81,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240613__175032__20240613_Prostate_SNP/output-XETG00122__0033823__HT891Z1-S2H3Fp1U81__20240613__175113
HT891Z1-S2H3Fp1U94,HT891Z1,HT891Z1,xenium,,/diskmnt/primary/Xenium/data/20240613__175032__20240613_Prostate_SNP/output-XETG00122__0033823__HT891Z1-S2H3Fp1U94__20240613__175113
HT913Z1-S2H1Fp1U101,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024913__HT913Z1-S2H1Fp1U101__20240703__174440/
HT913Z1-S2H1Fp1U33,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024910__HT913Z1-S2H1Fp1U33__20240703__174440/
HT913Z1-S2H1Fp1U34,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024910__HT913Z1-S2H1Fp1U34__20240703__174440/
HT913Z1-S2H1Fp1U35,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024910__HT913Z1-S2H1Fp1U35__20240703__174440/
HT913Z1-S2H1Fp1U61,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024913__HT913Z1-S2H1Fp1U61__20240703__174440/
HT913Z1-S2H1Fp1U81,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024913__HT913Z1-S2H1Fp1U81__20240703__174440/
HT913Z1-S2H1Fp1U1,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240710__201651__20240710_5K_Prostate_SenNet/output-XETG00122__0037154__HT913Z1-S2H1Fp1U1__20240710__201813
HT913Z1-S2H1Fp1U11,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240710__201651__20240710_5K_Prostate_SenNet/output-XETG00122__0037154__HT913Z1-S2H1Fp1U11__20240710__201813
HT913Z1-S2H1Fp1U21,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240710__201651__20240710_5K_Prostate_SenNet/output-XETG00122__0037154__HT913Z1-S2H1Fp1U21__20240710__201813
HT913Z1-S1H1Fp1U1,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240722__191436__20240722_HTAN_prostate_BM/output-XETG00122__0022654__HT913Z1-S1H1Fp1U1__20240722__191506
HT913Z1-S1H1Fp1U11,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240722__191436__20240722_HTAN_prostate_BM/output-XETG00122__0022654__HT913Z1-S1H1Fp1U11__20240722__191506
HT913Z1-S1H1Fp1U8,HT913Z1,HT913Z1,xenium,,/diskmnt/primary/Xenium/data/20240722__191436__20240722_HTAN_prostate_BM/output-XETG00122__0022654__HT913Z1-S1H1Fp1U8__20240722__191506
SP048Z1-Fp1C27U1,SP048Z1,SP048Z1,xenium,,/diskmnt/primary/Xenium/data/20240927__185207__20240927_5K_Multi_PCa_GBM_PKD/output-XETG00063__0037329__S18-5929-C27U1__20240927__185257
SP016Z1-Fp1B28U2,SP016Z1,SP016Z1,xenium,,/diskmnt/primary/Xenium/data/20240927__185207__20240927_5K_Multi_PCa_GBM_PKD/output-XETG00063__0037329__S18-8122-B28U1__20240927__185257
HT832Z1-S1H1Fp1U2,HT832Z1,HT832Z1,xenium,,/diskmnt/primary/Xenium/data/20241010__203252__20241010_5K_MGI_PKD_PCa_PDAC_CRC/output-XETG00113__0037126__HT832Z1U1__20241010__203413
HT1011Z1-S1H3Fp1U1,HT1011Z1,HT1011Z1,xenium,,/diskmnt/primary/Xenium/data/20241227__223539__20241227_5K_MGI_CRC_RCC_MM_PCa/output-XETG00113__0043322__HT1011Z1-S1H3Fp1U1__20241227__223819
HT206B1-H2L1Us1_9,HT206B1,HT206B1,xenium,,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0010528__HT206B1-H2L1Us1_9__20230830__154053
HT206B1-H2L1Us1_17,HT206B1,HT206B1,xenium,,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0010528__HT206B1-H2L1Us1_17__20230830__154053
HT206B1-H2L1Us1_1,HT206B1,HT206B1,xenium,,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0010528__HT206B1-H2L1Us1_1__20230830__154053
HT206B1-H2L1Us1_24,HT206B1,HT206B1,xenium,,/diskmnt/primary/Xenium/data/20230919__220553__24003/output-XETG00122__0010520__HT206B1-H2L1Us1_24__20230919__220650
HT206B1-H2L1Us1_8,HT206B1,HT206B1,xenium,,/diskmnt/primary/Xenium/data/20230919__220553__24003/output-XETG00122__0010520__HT206B1-H2L1Us1_8__20230919__220650
HT206B1-H2L1Us1_15,HT206B1,HT206B1,xenium,,/diskmnt/primary/Xenium/data/20230919__220553__24003/output-XETG00122__0010520__HT206B1-H2L1Us1_15__20230919__220650
HT591B1-S1H1Fp1Us1_1,HT591B1,HT591B1,xenium,,/diskmnt/primary/Xenium/data/20230803__195918__20230803_firstsamples/output-XETG00122__0010660__HT591B1-S1H1Fp1Us1_1__20230803__200008
HT704B1-S1H3Fp1U1,HT704B1,HT704B1,xenium,,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034390__HT704B1-S1H3Fp1U1__20240619__175030
HT704B1-S1H3Fp1U17,HT704B1,HT704B1,xenium,,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034390__HT704B1-S1H3Fp1U17__20240619__175030
HT704B1-S1H3Fp1U26,HT704B1,HT704B1,xenium,,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034390__HT704B1-S1H3Fp1U26__20240619__175030
HT704B1-S1H3Fp1U33,HT704B1,HT704B1,xenium,,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034322__HT704B1-S1H3Fp1U33__20240619__175030
HT704B1-S1H3Fp1U41,HT704B1,HT704B1,xenium,,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034322__HT704B1-SH3Fp1U41__20240619__175031
HT704B1-S1H3Fp1U50,HT704B1,HT704B1,xenium,,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034322__HT704B1-S1H3Fp1U50__20240619__175031
1581620AU1,1581620A,1581620A,xenium,,/diskmnt/primary/Xenium/data/20241204_5K_MGI_PKD_BRC_CRC/output-XETG00113__0043724__1581620AU1__20241204__224100
1654977AU1,1654977A,1654977A,xenium,,/diskmnt/primary/Xenium/data/20241204_5K_MGI_PKD_BRC_CRC/output-XETG00113__0043724__1654977AU1__20241204__224100
HT727B1-S1H4Fp1U1,HT727B1,HT727B1,xenium,,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037628__HT727B1-S1H4Fp1U1__20250124__223011
1661918aU1,1661918a,1661918A,xenium,,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037628__1661918aU1__20250124__223012
1607059U1,1607059,1607059,xenium,,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037628__1607059U1__20250124__223012
HT944B1-S2H2bFpU1,HT944B1,HT944B1,xenium,,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037640__HT944B1-S2H2bFpU1__20250124__223012
